Employee #,Last Name,First Name,Date,Time-in,Time-out,# OF HOURS
10001,Crisostomo,Jose,2022-01-09,8:00,17:00,9:00
10002,Mata,Christian,2022-01-09,8:00,17:00,9:00
10003,San Jose,Brad ,2022-01-09,8:00,17:00,9:00
10004,Salcedo,Anthony,2022-01-09,8:00,17:00,9:00
10005,Romualdez,Alice,2022-01-09,8:00,17:00,9:00
10006,Atienza,Rosie ,2022-01-09,8:00,17:00,9:00
10007,Farala,Martha,2022-01-09,8:27,17:00,8:33
10008,Martinez,Leila,2022-01-09,8:01,17:00,8:59
10009,San Jose,Allison ,2022-01-09,8:05,17:00,8:55
10010,Rosario,Cydney ,2022-01-09,8:00,17:00,9:00
10011,Lopez,Josie ,2022-01-09,8:00,17:00,9:00
10012,De Leon,Selena ,2022-01-09,8:00,17:00,9:00
10013,Romualdez,Fredrick ,2022-01-09,8:00,17:00,9:00
10014,Bautista,Mark ,2022-01-09,8:00,17:00,9:00
10015,Lazaro,Darlene ,2022-01-09,8:00,17:00,9:00
10016,Delos Santos,Kolby ,2022-01-09,8:28,17:00,8:32
10017,Santos,Vella ,2022-01-09,8:00,17:00,9:00
10018,Del Rosario,Tomas,2022-01-09,8:00,17:00,9:00
10019,Tolentino,Jacklyn ,2022-01-09,8:00,17:00,9:00
10020,Gutierrez,Percival ,2022-01-09,8:00,17:00,9:00
10021,Manalaysay,Garfield ,2022-01-09,8:11,17:00,8:49
10022,Villegas,Lizeth ,2022-01-09,8:00,17:00,9:00
10023,Ramos,Carol ,2022-01-09,8:00,17:00,9:00
10024,Maceda,Emelia ,2022-01-09,8:21,17:00,8:39
10025,Aguilar,Delia ,2022-01-09,8:00,17:00,9:00
10001,Crisostomo,Jose,2022-02-09,8:00,17:00,9:00
10002,Mata,Christian,2022-02-09,8:00,17:00,9:00
10003,San Jose,Brad ,2022-02-09,8:00,17:00,9:00
10004,Salcedo,Anthony,2022-02-09,8:00,17:00,9:00
10005,Romualdez,Alice,2022-02-09,8:00,17:00,9:00
